"feature","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"Thbd","Thbd",3037.25472303878,1.91131451717925,0.498306571626649,3.83561972891516,0.000125248072160903,0.00389798550847307,"Up"
"Adm2","Adm2",123.804764555874,1.90552728178612,0.392626473351764,4.85328272828641,1.21434372495867e-06,0.000301420785388789,"Up"
"Ptn","Ptn",199.308737624005,-1.89596726779424,0.662017921187217,-2.86392136393248,0.00418431874705363,0.0328209020420751,"Down"
"Acat3","Acat3",165.198297368963,1.89518584020864,0.537321412624612,3.5270990429199,0.000420139569824264,0.00798146999946038,"Up"
"Serpina3i","Serpina3i",74.3512285163475,1.87658226415228,0.487418375997002,3.85004414393237,0.00011809653809589,0.00379589600104752,"Up"
"Cd93","Cd93",23.0427961553189,1.87439133939481,0.598573798778421,3.1314289787159,0.00173957855584059,0.019212172979345,"Up"
"Fam110c","Fam110c",282.179292976384,1.86786863208788,0.655077142219292,2.85137201667554,0.00435310063857676,0.033733408103991,"Up"
"Erich2","Erich2",19.8178460831488,1.83575203999832,0.540429759988855,3.39683743551831,0.000681694517055211,0.010533743494054,"Up"
"Gipr","Gipr",47.8979055933805,1.83507245785233,0.49370125739826,3.71696938250251,0.000201626866931022,0.00521233250180804,"Up"
"Angptl7","Angptl7",172.678091524176,1.82697679184409,0.596637615314741,3.06212136973683,0.00219774321122118,0.0220091156685071,"Up"
"Cxcl5","Cxcl5",40539.9450380627,1.82061748190133,0.447061693065046,4.0724077015394,4.65296407206435e-05,0.00226886591051889,"Up"
"Cebpd","Cebpd",2559.15783302021,1.81914847973125,0.490360194719603,3.70982086091117,0.000207405950149165,0.00530808449957777,"Up"
"Gpr137b","Gpr137b",2319.50801166191,1.81902573342787,0.447843681570624,4.06174254161274,4.8707777679395e-05,0.00230840685303715,"Up"
"N4bp2l1","N4bp2l1",107.076655907336,1.80141281613283,0.420775211449624,4.28117618888892,1.85908090872255e-05,0.0014028271415707,"Up"
"Serpinb9b","Serpinb9b",965.955728657615,1.80045219108415,0.429639953310942,4.19060698896669,2.78209190774864e-05,0.00173169195382308,"Up"
"Gpr68","Gpr68",20.2448673701375,1.78491261167762,0.394981338529231,4.51897960122368,6.21383806373225e-06,0.00074937777434671,"Up"
"Plek","Plek",93.0857921118874,1.7721145954614,0.50513758726,3.50818200853716,0.000451180258430246,0.00817998892700314,"Up"
"Pthlh","Pthlh",16.5502938102061,-1.76165700273,0.557895346113868,-3.15768363188755,0.00159028041642158,0.0181867953936162,"Down"
"Mt2","Mt2",10271.3355763371,1.74790413149512,0.432037344800978,4.04572464054076,5.21615180302916e-05,0.00240225307413573,"Up"
"Chac1","Chac1",1394.80403555988,1.73984483613644,0.448592373641183,3.87845388902687,0.000105122446701284,0.003567560019081,"Up"
"Ceacam19","Ceacam19",32.5416751746843,1.71666369805948,0.508443164772342,3.37631384783809,0.000734640659000247,0.0110745439521388,"Up"
"Adm","Adm",452.311129553418,1.69177713137498,0.453380645157482,3.731471886691,0.000190364257085696,0.0050291477968565,"Up"
"Muc13","Muc13",14.0797569228408,1.6422246855898,0.525422841108978,3.12552968219587,0.00177485157415503,0.0194112714268113,"Up"
"AI607873","AI607873",38.4640490190786,1.6357604228982,0.379439777462597,4.31098825177718,1.62526541408886e-05,0.00131451855976636,"Up"
